group,title,year,status,decision_granularity,dynamic_within_task,router_input,workflow_effect,routecraft_overlap,official_paper,official_code,local_pdf
request,FrugalGPT,2024,TMLR 2024,"single-query cascade",yes-cascade,"query; candidate answer",changes-call-sequence,low,https://openreview.net/forum?id=cSimKw5p6R,https://github.com/stanford-futuredata/Frugalgpt,../../../papers/01_model_routing/2024_FrugalGPT.pdf
request,A Unified Approach to Routing and Cascading for LLMs,2025,ICML 2025,"request routing; answer-conditioned cascade",yes-cascade,"query; candidate answer; quality estimator",changes-call-sequence,foundational-taxonomy,https://proceedings.mlr.press/v267/dekoninck25a.html,https://github.com/eth-sri/cascade-routing,../../../papers/01_model_routing/2025_Unified_Routing_and_Cascading.pdf
request,RouteLLM,2025,ICLR 2025,prompt-once,no,query,none,baseline,https://openreview.net/forum?id=8sSqNntaMr,https://github.com/lm-sys/RouteLLM,../../../papers/01_model_routing/2025_RouteLLM.pdf
request,Models Under SCOPE,2026,arXiv preprint,prompt-once,no,"query; candidate fingerprint",none,medium,https://arxiv.org/abs/2601.22323,unverified-future-release,../../../papers/01_model_routing/2026_Models_Under_SCOPE.pdf
request,R2-Router,2026,ICML 2026,prompt-once,no,"query; model-budget heads",none,medium,https://arxiv.org/abs/2602.02823,https://github.com/UCF-ML-Research/R2-Router,../../../papers/01_model_routing/2026_R2_Router.pdf
benchmark,LLMRouterBench,2026,Findings ACL 2026,static-query-outcomes,no,"frozen query-model outcomes",none,benchmark,https://aclanthology.org/2026.findings-acl.1881/,https://github.com/ynulihao/LLMRouterBench,../../../papers/01_model_routing/2026_LLMRouterBench.pdf
benchmark,Opportunity Is Not Realizability,2026,arXiv preprint,selection-valid-routing-diagnostic,no,"outcome oracle; declared signal; held-out router",none,evaluation-warning,https://arxiv.org/abs/2608.08265,unverified,../../../papers/05_theory_methods/2026_Opportunity_Is_Not_Realizability.pdf
commitment,TRACE-Router,2026,arXiv preprint,task-pinning,no,"admission context; terminal feedback",none,high-counterexample,https://arxiv.org/abs/2607.22465,unverified,../../../papers/02_agent_routing/2026_TRACE_Router.pdf
commitment,SWE-Router,2026,ICML 2026 workshop preprint,fixed-K-escalation,at-most-once,"K-turn cheap-model trajectory",strong-model-restarts,high,https://arxiv.org/abs/2607.00053,unverified-source-code,../../../papers/02_agent_routing/2026_SWE_Router.pdf
commitment,Agent-as-a-Router,2026,arXiv preprint,task-pinning,no,"task metadata; cross-task memory",none,medium,https://arxiv.org/abs/2606.22902,https://github.com/LanceZPF/agent-as-a-router,../../../papers/02_agent_routing/2026_Agent_as_a_Router.pdf
trajectory,MTRouter,2026,ACL 2026 long,every-turn,yes,"raw recent-first history; model ID; cost",none,very-high,https://aclanthology.org/2026.acl-long.2045/,https://github.com/ZhangYiqun018/MTRouter,../../../papers/02_agent_routing/2026_MTRouter.pdf
trajectory,EvoRoute,2026,arXiv preprint,every-step,yes,"current step; prior experience; environment feedback",none,very-high,https://arxiv.org/abs/2601.02695,unverified,../../../papers/02_agent_routing/2026_EvoRoute.pdf
trajectory,Hera,2026,arXiv preprint,every-step,yes,"task; environment state; future return and cloud usage labels",none,very-high,https://arxiv.org/abs/2605.24598,unverified,../../../papers/02_agent_routing/2026_Hera.pdf
trajectory,Budget-Aware Agentic Routing,2026,arXiv preprint,every-step,yes,"full interaction history; remaining budget",none,high,https://arxiv.org/abs/2602.21227,unverified,../../../papers/02_agent_routing/2026_Budget_Aware_Agentic_Routing.pdf
trajectory,TwinRouterBench,2026,arXiv preprint,per-call-prefix,yes,"router-visible prefix; cache buckets",none,very-high-benchmark,https://arxiv.org/abs/2605.18859,https://github.com/CommonstackAI/TwinRouterBench,../../../papers/02_agent_routing/2026_TwinRouterBench.pdf
trajectory,Agentic Routing: The Harness-Native Data Flywheel,2026,technical report/preprint,every-step,yes,"harness state; tools; artifacts; errors; verification",can-change-config,very-high,https://arxiv.org/abs/2607.11399,https://github.com/opensquilla/opensquilla,../../../papers/02_agent_routing/2026_Agentic_Routing_Harness_Native.pdf
continuity,HyDRA,2026,arXiv preprint,"session-sticky; fixed events",sparse,"current message; seven flags; capability profile",none,high,https://arxiv.org/abs/2605.17106,unverified,../../../papers/01_model_routing/2026_HyDRA.pdf
continuity,vLLM SAAR,2026,official open-source system,"every request with stay-switch locks",yes,"session memory; tool/provider state; cache; drift",none,very-high-system,https://vllm-project.github.io/2026/06/02/session-aware-agentic-routing.html,https://github.com/vllm-project/semantic-router/tree/ef9e5dd99c953a21d20a99a93547e57468bae863,../../../papers/03_harness_systems/vLLM_Semantic_Router_arXiv2603.04444.pdf
continuity,OpenSquilla 0.5.3,2026,official open-source system,every-turn,yes,"semantic message; recent route history; usage; continuity",can-change-config,very-high-system,https://arxiv.org/abs/2607.11399,https://github.com/opensquilla/opensquilla/tree/79d57b2fe63e1f83b364ca2bd022e0cb76081406,../../../papers/02_agent_routing/2026_Agentic_Routing_Harness_Native.pdf
adjacent-workflow,GraphPlanner,2026,ICLR 2026,workflow-node,yes,"history and generated workflow graph",generates-workflow,adjacent,https://openreview.net/forum?id=ZdGB7MNQDT,https://github.com/ulab-uiuc/GraphPlanner,../../../papers/02_agent_routing/2026_GraphPlanner.pdf
adjacent-workflow,EASy,2026,preprint-under-review,milestone-node,yes,"generated milestone and plan tree",generates-workflow,adjacent,https://arxiv.org/abs/2608.04588,unverified,../../../papers/02_agent_routing/2026_EASy.pdf
adjacent-workflow,Aragog,2025,arXiv preprint,fixed-DAG-stage,yes,"serving load; queue; stage",fixed-workflow-scheduling,adjacent,https://arxiv.org/abs/2511.20975,unverified,../../../papers/02_agent_routing/2025_Aragog.pdf
