gate,question,evidence_required,pass_rule,fail_decision,pass_decision,next_investment,artifact,evidence_status
G0,快照与账本是否可信,"Harness prefix/world predicate/verifier precondition 一致；每个物理调用可归属到 branch/turn/step/attempt","所有进入 paired analysis 的 fork 均通过快照 predicate；无未归属调用","暂停 Router 效果解释；修复 snapshot/ledger","允许进行 matched fork 因果近似","160→480 smoke branches","snapshot/ledger engineering audit","候选研究门"
G1,是否存在 gross action heterogeneity,"π_ref 参考状态分布上同状态不同 model×boundary 的 verifier outcome、cost、latency","不是单一预先固定策略在占用率加权后支配全部动作","停止动态 Router；报告受限负结果","进入完整成本重算","40–50 random anchors；960–1200 cumulative branches","local action heterogeneity measurement","候选研究门"
G2,参考状态分布的完整成本下是否仍有净机会,"Router/cache/replay/retry/handoff/tool/model 的实际价格与时间；外部成功标签","通过 smoke 后预注册的 practical margin；成功提高且 CPS 不劣，或 CPS 降低且成功在 1pp 非劣界内","adaptive Router No-Go；转 full-cost measurement/negative result","检验事件价值","扩展到一周 Phase 0；累计约 1680–3000 branches","full-cost counterfactual opportunity on d(π_ref)","候选研究门"
G3,外部事件是否以更少重决策保留主要局部净机会,"observation/verification/recovery、普通 call、per-call 与 local Oracle 对照","事件组在 held-out split 上具有增量预测价值且 event routing 保留预注册比例的净机会","转 per-call Router 或报告事件边界无独立价值","比较最佳固定事件与自适应边界","event-only/fixed-event/per-call 对照","event-value study","候选研究门"
G4,自适应边界是否超过最佳固定事件,"adaptive、observation、verification、error、per-call、task-terminal 的 paired 结果；选择与检验分离","selection-valid CI 下界超过预注册的 success 或 CPS 正收益门槛，且另一指标满足非劣约束","CI 上界同时低于 1pp success 与 5% CPS improvement 时采用固定事件；跨停止区与通过区则在资源门内补样本，仍不收窄就报告 inconclusive","通过后检验部署前状态可预测性","Logistic/kNN/LightGBM 与 PlanIR/raw trajectory 对照","fixed-vs-adaptive boundary study","候选研究门"
G5,部署前状态能否识别剩余机会,"held-out task 上的 regret、CPS、ECE/Brier、Router overhead","轻量模型扣除自身开销后超过最强 fixed baseline；family selection 与 test 分离","停止更大 Router；形成 opportunity-not-realizability benchmark","进入动态端到端 Phase 2","先轻量 Router；不默认 0.5B–1.5B","realizability benchmark / lightweight method","候选研究门"
G6,效应能否跨域和跨 Harness,"τ²/SWE 后再增加第二 Harness/AppWorld；统一 IR 与计量协议","关键方向在预注册分层中复现；不以宏平均掩盖异质性","限定为单域或单 Harness 结论","支持更通用的方法主张","第二 Harness 与 AppWorld 仅条件解锁","cross-harness evaluation","后续研究门"
EXIT_REPLAN,收益是否只在允许重新规划时出现,"固定 workflow 与允许 replanning 的成对比较","固定 workflow 下仍保留净收益","转 workflow/planning；停止固定 Agent Router 主张","保留完整模型 Router 范围","不继续当前方法扩张","scope-boundary result","范围退出分支"
EXIT_NEXT_CALL,最优边界是否坍缩为 next_call,"学习策略的边界分布与净效用","非 next_call 边界在预注册分层中有实质占用和收益","退化为既有 per-call Router","保留 adaptive commitment 假设","进入 Phase 1/2","boundary-collapse analysis","范围退出分支"
EXIT_TERMINAL,最优边界是否坍缩为 task_terminal,"学习策略的边界分布与净效用","非 terminal 边界在预注册分层中有实质占用和收益","退化为 task pinning","保留 adaptive commitment 假设","进入 Phase 1/2","boundary-collapse analysis","范围退出分支"
OUTCOME_MEASUREMENT,切换成本是否吞噬局部 Oracle 机会,"full-cost decomposition and π_ref occupancy weighting","G2 未通过","形成系统测量或负结果；不训练 Router","N/A","完善成本、失败和 tail 分析","measurement/negative-result paper","可能结果；不是预测"
OUTCOME_FIXED_EVENT,某一固定事件是否解释几乎全部收益,"best fixed event vs adaptive selection-valid CI","G4 未通过","发布更简单的 observation/error/verification 策略","N/A","实现规则或轻量 classifier","fixed-event Router/system paper","可能结果；不是预测"
OUTCOME_BENCHMARK,局部 Oracle 存在但部署前信号不可实现,"local outcome oracle vs signal-restricted/held-out learned gain","G5 未通过","发布 counterfactual benchmark；不扩大模型","N/A","审计状态碰撞、标签泄漏和 credit assignment","opportunity-not-realizability benchmark","可能结果；不是预测"
OUTCOME_METHOD,轻量状态能够实现净收益,"held-out dynamic end-to-end result after overhead","G5 与 Phase 2 通过","形成 RouteCraft 方法论文","N/A","之后再决定小型 encoder 或第二 Harness","adaptive commitment method","可能结果；不是预测"
