entity,public_product,public_status,routing_object,decision_granularity,agent_or_session_state,cost_quality_control,cache_or_switch_handling,evidence_grade
OpenAI,GPT-5 system router,Public product-internal description,fast/main vs thinking vs mini,response/conversation request,conversation type complexity tool need explicit intent,implicit learned tradeoff,not publicly specified,A official system card
Microsoft,Foundry Model Router,GA/current docs,multi-family full models,per request and per agent turn,prompt plus eligible model/deployment constraints,Quality Balanced Cost profiles,prompt cache only when consecutive requests select same model; automatic failover,A official product docs
Google Cloud,Vertex AI Model Optimizer,Paid experimental,Gemini intelligence levels/models and tools,per prompt,not publicly documented as trajectory-aware,Cost Balanced Quality preference,dynamic pricing; session switching policy not disclosed,A official product/pricing docs
AWS,Bedrock Intelligent Prompt Routing,Public service,exactly two full models in same family,per prompt,prompt only,quality-difference threshold plus fallback,no application-specific adaptation; cache/switch policy not disclosed,A official service docs
OpenRouter,Auto Router,Public service,cross-provider curated full models,per prompt with optional session pinning,prompt/task features plus session_id/fingerprint,0-10 cost-quality control,pins model and provider for consistency/cache; five-minute idle expiry,A official service docs
vLLM,Semantic Router SAAR,Open-source release,full model stay/switch,per agent turn with session memory,tool loop provider state idle drift remaining-turn prior,cache-aware model cost,prefix-cache handoff history penalties and hard locks,A official repository/report
Cloudflare,AI Gateway Dynamic Routing,Public service,provider/model endpoint,rule/event per request,request headers metadata quota and budget,explicit rules not learned quality prediction,budget/rate fallback and rollout controls,A official service docs
Tencent Cloud,Model Routing,Internal beta,provider endpoint for same model,per request failure path,network/availability signals,availability rather than capability optimization,automatic retry and same-model provider failover,A official service docs
Anthropic,Claude API model family,No first-party automatic full-model router verified,caller-selected Opus/Sonnet/Haiku and effort,caller decides,application evals recommended,manual capability-speed-cost selection,cloud partners may route Claude but that is not Anthropic first-party routing,B bounded negative finding from official docs reviewed
DeepSeek,DeepSeek API model family,No first-party automatic full-model router verified,caller-selected Flash/Pro and thinking mode,caller decides,no automatic agent/session state documented,model and mode prices exposed,cache hit/miss prices exposed,B bounded negative finding from official docs reviewed
Alibaba Cloud,Model Studio model catalog,No automatic full-model router verified in reviewed docs,caller-selected Qwen/third-party model,caller decides,no automatic agent/session state documented,manual model and price choice,cache billing and monitoring exposed,B bounded negative finding from official docs reviewed
