"工作","年份/作者","状态","论文/官方页","官方代码","路由对象","决策粒度","任务内动态切换","Router输入","Agent历史/中间状态","显式阶段区分","Router类型","训练标签来源","强LLM/Judge","未见模型","改变原workflow","成本目标","计入成本","忽略/未报告成本","Benchmark/模型池","核心结果(作者条件)","关键局限","与RouteCraft重叠"
"FrugalGPT","2024; Lingjiao Chen, Matei Zaharia, James Zou","TMLR 2024","https://openreview.net/forum?id=cSimKw5p6R","https://github.com/stanford-futuredata/Frugalgpt","完整API模型cascade","query内候选回答后accept/escalate","是，但非Agent loop","query+候选answer","仅本次候选answer","否","DistilBERT reliability scorer+离线cascade优化","任务ground truth","离线标签可有模型评估；非必需在线Judge","否；顺序/scorer绑定已知API","改变单次QA调用序列","质量约束下API美元成本","当时API请求/输入输出价格、cascade调用","Router部署、cache、切换、工具、重试、延迟、能耗","HEADLINES/OVERRULING/COQA; 12 APIs","相同质量最高约98%节省或同成本最高约4pp提升","分布/价格/模型池依赖；不是Agent","低；accept/escalate与termination形式邻近"
"RouteLLM","2025; Isaac Ong et al.","ICLR 2025","https://openreview.net/forum?id=8sSqNntaMr","https://github.com/lm-sys/RouteLLM","strong/weak完整模型","prompt一次选择","否","prompt","无","否","SW ranking/MF/BERT/causal LLM classifiers","Chatbot Arena人偏；MMLU gold；GPT-4合成偏好","训练/MT-Bench评测可用强Judge","只证实模型对迁移；非显式profile open-set","否","质量约束下API费用","input/output price；估算Router≤GPT-4生成0.4%","cache、Agent轮次、tool、retry、handoff、energy","MT-Bench/MMLU/GSM8K; 二模型对","作者报告2×至3.66×节省","prompt-only、二元池、漂移","低；必要prompt-only baseline"
"LLMRouterBench","2026; Hao Li et al.","Findings ACL 2026","https://aclanthology.org/2026.findings-acl.1881/","https://github.com/ynulihao/LLMRouterBench","完整模型静态query routing","query一次；静态outcome矩阵","否","query/embedding/部分model信息","无live Agent event","否","10类静态Router基线","模型回答correctness或Judge","开放任务/部分数据需要Judge","评测若干open-set方法；非统一保证","否","quality-cost/latency","I/O token×price；OpenRouter TTFT/TPS；最多10次调用retry被记录为协议","prompt cache、Agent tool、Router训练/部署、handoff、能耗","21 datasets/33 models; >400K queries","大benchmark；部分Router不如Best Single","含SWE/tau2来源但非live Agent；pool construction影响大","低到中；可做静态candidate-conditioned对照"
"Models Under SCOPE","2026; Qi Cao et al.","arXiv preprint","https://arxiv.org/abs/2601.22323","未核验；项目页称future release","完整模型+预测output length","prompt一次选择","否","query+model behavioral fingerprint","无","否","Qwen3-4B candidate-conditioned multi-output predictor","已实现correctness/length；hindsight teacher+GRPO","离线强教师/Judge","是；约250 anchor probes/model，7 seen+4 unseen","否","correctness/length/cost","预测token与test-time compute比较","4B美元/能耗、Agent、cache、retry、switch、latency","AIME/HLE/SimpleQA/Olympiad; 11 models","作者报告最高+25.7pp或95.1% cost reduction","教师事后理由可rationalize；probe/支持域依赖","高于基础Router；已覆盖candidate-conditioned/profile"
"HyDRA","2026; Aashna Garg et al.","arXiv preprint","https://arxiv.org/abs/2605.17106","未核验","完整模型/能力profile匹配","首turn sticky；compaction/background summary等固定事件重路由","稀疏切换","当前消息+7个system flags+model capability YAML","不读完整assistant/tool/repo history","不显式分七阶段；含error/tool/code flags","149M ModernBERT capability heads+约束matcher","50,159 Copilot turns，双模型回答+LLM judge；公开probe","是，离线judge","可增catalog无需重训需求头；需新profile","否","quality约束下realized price/生产COGS","I/O token价格；Router p50/p99 latency；cache折扣作策略动机","cache loss未清晰逐请求、Judge/profile、tool/retry/switch/queue/energy","SWE Verified/LiveCodeBench/BigCodeBench/tau2; 5 models+生产A/B","作者报告SWE约54.1% saving近目标质量；生产COGS -7–10%","tool head标签一致性差；512截断；profile staleness","极高；固定event sticky/cache-aware先例"
"Router-R1","2025; Haozhen Zhang, Tao Feng, Jiaxuan You","NeurIPS 2025 poster","https://arxiv.org/abs/2506.09033","https://github.com/ulab-uiuc/Router-R1","候选完整模型与子查询","同一query最多若干次route/聚合","是，但重写解题流程","query+自生成reasoning+候选answer","内部生成历史","隐式分解/聚合；非harness阶段","约3B policy+PPO","terminal EM/F1、format、cost reward","terminal评测；候选模型本身","通过自然语言描述加入两个unseen candidate","是；生成subquery并聚合","terminal正确率与候选output cost","主要候选output token×price","Router/policy input/reasoning、candidate input、cache、switch、tool、latency","NQ/Hotpot训练；7 QA datasets/6 candidates","作者报告质量/成本改进","multi-round latency；不是固定harness","中；joint sequential action但workflow不同"
"R²-Router","2026; Jiaqi Xue, Qian Lou, Jiarong Xing, Heng Huang","ICML 2026/PMLR 306","https://arxiv.org/abs/2602.02823","https://github.com/UCF-ML-Research/R2-Router","完整模型+reasoning/output-token budget","query一次联合动作","否","query embedding+model/budget heads","无","否","每model/budget小MLP","R²-Bench已执行quality/cost outcomes","按任务有强Judge/EM","原head绑定模型；新模型需数据和重训；结合UniRouter才open-set","否","质量-生成预算/费用","总I/O token、Router<1ms、训练时间","Agent loop、cache、switch、tool、retry、部署能耗","6 datasets/15 models/每模型5–6 budgets","作者报告相近质量4–5×成本降低","第二动作是长度预算而非temporal boundary","中；说明多头/联合动作但无Agent状态"
"MTRouter","2026; Yiqun Zhang et al.","ACL 2026 long","https://aclanthology.org/2026.acl-long.2045/","https://github.com/ZhangYiqun018/MTRouter","下一Agent turn完整模型","每turn重路由","是","recent-first全历史embedding+context/cost/profile+model ID","最长约8192 tokens轨迹，含tool observation/error","不显式分OBSERVE/PLAN/...","Qwen3-Embedding-0.6B+outcome regression/scorer","random per-turn与single-model trajectories；terminal score+progress severity","部分任务Judge/terminal scorer","弱；learned model-ID残差不支持自然open-set","否","terminal quality与模型API成本","模型token美元成本","embedding/router、tool/search、Judge、cache loss、switch/handoff、energy","ScienceWorld/HLE tool agent; 6 frontier models","作者报告ScienceWorld成本低58.7%、HLE低43.4%等","跨模型cache loss明确为limitation；标签credit弱；策略偏sticky","极高；直接history/per-turn baseline"
"TRACE-Router","2026; Ritik Raj et al.","arXiv preprint","https://arxiv.org/abs/2607.22465","未核验","任务admission选择backend","task/session pinning","否","regex/coarse task context+bandit state","仅terminal outcome跨任务更新","否","contextual UCB bandit","terminal accuracy+E2E latency","terminal verifier/environment","未报告","否","accuracy-latency reward","patched LiteLLM wall-clock含tool/env等待","货币/token、逐桶cache、Router、switch、energy","tau2/LiveCodeBench/TerminalBench; Qwen3.5 4B/9B等","作者报告部分tau2约+7–8pp；TerminalBench+7.1pp且延迟-36%","小样本；无intra-task适应","高反例；β=task_terminal基线"
"SWE-Router","2026; Seongho Son et al.","ICML 2026 DL4Code workshop；非主会","https://arxiv.org/abs/2607.00053","https://huggingface.co/SWE-Router；源码未核验","cheap/strong SWE Agent","cheap固定K turns后continue或strong从原issue重启","最多一次","cheap prefix trajectory","代码/工具轨迹","不显式分阶段","Qwen2.5-Coder-7B LoRA value head","unit-test terminal success；weak trajectories","确定性unit tests","否；固定模型对","保持mini-swe-agent但strong restart","API spend/route-AUC","两个模型API spend；cheap K+restart隐含","Router、cache/replay拆分、retry、latency、tool/energy","SWE-Smith/SWE Verified; GPT-5-mini/DeepSeek-V3.2/Gemini-3-Pro-preview","作者报告route-AUC相对prompt-only最低约+12pp","K固定；重启非handoff；付费信息单调性假设忽略切换","极高；fixed-K escalation baseline"
